2024;;;
name_;code_;male_;female_
Bad Pirawarth;<30805>;879;877
Deutsch-Wagram;<30808>;4471;4752
Ebenthal;<30812>;466;440
Eckartsau;<30813>;678;653
Engelhartstetten;<30814>;1072;1112
Gänserndorf;<30817>;5873;6260
Glinzendorf;<30819>;181;176
Groß-Enzersdorf;<30821>;5880;6202
Großhofen;<30822>;53;47
Groß-Schweinbarth;<30824>;683;677
Haringsee;<30825>;571;591
Hohenruppersdorf;<30828>;479;479
Lassee;<30830>;1519;1508
Leopoldsdorf im Marchfeld;<30831>;1488;1530
Mannsdorf an der Donau;<30834>;173;163
Marchegg;<30835>;1539;1565
Markgrafneusiedl;<30836>;440;469
Matzen-Raggendorf;<30838>;1468;1499
Obersiebenbrunn;<30842>;885;890
Orth an der Donau;<30844>;1050;1161
Parbasdorf;<30846>;90;77
Prottes;<30848>;727;734
Raasdorf;<30849>;340;379
Schönkirchen-Reyersdorf;<30852>;1014;994
Spannberg;<30854>;491;492
Strasshof an der Nordbahn;<30856>;5951;6055
Untersiebenbrunn;<30858>;887;904
Velm-Götzendorf;<30859>;401;378
Weiden an der March;<30865>;523;494
Weikendorf;<30860>;1007;1055
Bisamberg;<31201>;2364;2513
Enzersfeld;<31202>;897;934
Ernstbrunn;<31203>;1660;1650
Gerasdorf bei Wien;<31235>;5900;6031
Großmugl;<31204>;846;791
Großrußbach;<31205>;1130;1162
Hagenbrunn;<31206>;1218;1195
Harmannsdorf;<31207>;2015;2082
Hausleiten;<31208>;1864;1979
Korneuburg;<31213>;6718;7001
Langenzersdorf;<31214>;3922;4231
Leitzersdorf;<31215>;588;571
Leobendorf;<31216>;2617;2636
Niederhollabrunn;<31234>;778;729
Rußbach;<31224>;695;704
Sierndorf;<31226>;1987;1967
Spillern;<31227>;1287;1329
Stetteldorf am Wagram;<31228>;552;524
Stetten;<31229>;678;695
Stockerau;<31230>;8172;8827
Bockfließ;<31605>;633;644
Großebersdorf;<31614>;1148;1167
Großengersdorf;<31615>;766;771
Hochleithen;<31622>;551;561
Kreuttal;<31627>;725;762
Kreuzstetten;<31628>;831;852
Pillichsdorf;<31642>;635;625
Ulrichskirchen-Schleinbach;<31651>;1319;1349
Wolkersdorf im Weinviertel;<31655>;3623;3869
Gablitz;<31949>;2504;2601
Mauerbach;<31950>;1743;1867
